x,y,long,short,radian,bool
952.0,752.5,2.1213,3.0,0.0,0.0
425.0,752.5,0.0,1.0,0.0,0.0
956.0,751.5,2.403,4.535,54.54,0.0
870.0,751.0,2.1821,4.082,90.0,0.0
872.5,750.0,2.1213,3.0,90.0,0.0
959.5,744.0,2.1213,3.0,90.0,0.0
954.0,744.0,2.1821,4.082,90.0,0.0
1006.5,743.0,2.1213,3.0,90.0,0.0
153.0,743.0,0.0,0.000,0.0,0.0
139.0,743.0,0.0,0.000,0.0,0.0
1009.466,742.0,3.252,4.247,0.0,0.0
994.779,741.816,2.8250,7.21,84.83,0.0
888.5,741.0,2.1213,3.0,90.0,0.0
885.5,741.0,2.1213,3.0,90.0,0.0
1013.36,741.175,3.0253,5.649,131.71,0.0
1144.740,439.440,170.92,1149.913,58.79,0.0
997.195,739.401,3.013,4.140,111.049,0.0
992.339,739.339,2.5162,3.5216,45.0,0.0
973.685,973.988,342.554,427.85,158.69,0.0
961.0,740.0,2.1821,4.082,0.0,0.0
667.99,739.996,0.08471,0.20398,0.0,0.0
1014.660,738.660,2.5162,3.5216,45.0,0.0
994.5,738.0,2.1213,3.0,90.0,0.0
967.0,738.5,2.1213,3.0,0.0,0.0
963.0,738.5,2.1213,3.0,0.0,0.0
892.598,738.195,3.013,4.140,21.049,0.0
993.0,736.0,2.1821,4.082,90.0,0.0
1018.5,735.0,2.1213,3.0,90.0,0.0
990.0,735.0,2.1821,4.082,90.0,0.0
983.5,735.0,2.1213,3.0,90.0,0.0
976.5,735.0,2.1213,3.0,90.0,0.0
953.5,735.0,2.1213,3.0,90.0,0.0
910.5,735.0,2.1213,3.0,90.0,0.0
146.08,736.688964,2.1467,3.1921,164.19,0.0
127.965,736.893,2.243,3.4324,177.209,0.0
981.0,734.0,2.1821,4.082,90.0,0.0
906.0,734.0,2.2215,6.497,90.0,0.0
415.5,734.0,0.0,0.003,0.0,0.0
219.0,734.5,2.1213,3.0,0.0,0.0
1022.5,733.0,2.1213,3.0,90.0,0.0
985.0,733.0,2.1821,4.082,90.0,0.0
900.5,733.0,2.1213,3.0,90.0,0.0
904.0,731.0,2.1821,4.082,90.0,0.0
143.5,732.5,1.0006,27.399,0.07652,0.0
908.5,730.5,3.1622,3.1622,0.0,0.0
1265.0,728.0,2.1821,4.082,90.0,0.0
944.0,727.5,2.1213,3.0,0.0,0.0
939.0,727.0,2.1821,4.082,90.0,0.0
934.5,727.0,2.1213,3.0,90.0,0.0
926.5,727.0,2.1213,3.0,90.0,0.0
150.76,730.459,2.807,7.8742,160.49,0.0
122.852,730.250,2.159,9.302,2.856,0.0
1057.0,726.0,2.1821,4.082,90.0,0.0
1040.0,726.0,2.2215,6.497,90.0,0.0
929.5,726.0,2.2105,5.249,90.0,0.0
669.493,726.988,0.30748,0.4898,0.0,0.0
1029.340,725.670,3.015,8.658,96.50,0.0
1023.634,726.365,3.1617,4.81,135.0,0.0
945.339,725.660,2.5162,3.5216,135.0,0.0
942.0,725.0,2.1821,4.082,90.0,0.0
934.5,725.0,2.223,7.822,90.0,0.0
924.56,725.3125,2.9497,6.365,79.75,0.0
787.531,731.558,5.973,224.51,88.26,0.0
1279.611,724.98,3.3746,18.335,80.98,0.0
1024.5,724.0,2.1213,3.0,90.0,0.0
433.425,724.941,1.9860,6.200,50.188,0.0
1289.339355,723.660,2.5162,3.5216,135.00,0.0
1272.5,723.0,2.1213,3.0,90.0,0.0
1164.0,723.5,2.1213,3.0,0.0,0.0
1058.5,723.0,2.2105,5.249,90.0,0.0
1030.5,723.0,2.1213,3.0,90.0,0.0
939.0,723.0,2.1821,4.082,90.0,0.0
934.5,723.0,2.1213,3.0,90.0,0.0
1161.0,722.5,2.1213,3.0,0.0,0.0
1155.5,722.0,2.2139,10.685,90.0,0.0
1120.157,722.312,2.772,16.176,85.41,0.0
1026.5,722.0,2.1213,3.0,90.0,0.0
978.039,724.469,4.514,23.067,86.56,0.0
792.427,724.140,3.187,199.09,88.80,0.0
1289.56,720.3125,2.949,6.365,79.75,0.0
1279.5,720.0,2.2105,5.249,90.0,0.0
669.745,721.770,2.193,3.3882,162.983,0.0
155.69,730.809,2.037,20.127,171.08,0.0
117.5,730.744,0.0,1.0,0.0,0.0
1070.5,719.0,2.2105,5.249,90.0,0.0
136.40,728.003,10.256,18.019,174.96,0.0
128.0,720.437988,4.176,4.318,0.0,0.0
123.97,722.832,1.9906,8.608,154.224,0.0
1267.339355,718.339,2.5162,3.5216,44.99,0.0
1263.0,719.5,2.2105,5.249,0.0,0.0
768.858,719.322,3.3707,84.70,89.05,0.0
690.287,720.506,3.4141,36.98,85.79,0.0
147.93,722.315,2.248,9.106,19.618,0.0
143.408,719.876,3.8912,5.2423,161.18,0.0
1299.0,717.0,2.1821,4.082,90.0,0.0
1296.0,717.5,2.1213,3.0,0.0,0.0
1074.5,717.0,2.1213,3.0,90.0,0.0
989.895,717.894,2.488,48.55,88.96,0.0
